,Ticker,Company,Sector
127,KOTAKBANK.BO,KOTAK MAHINDRA BANK LTD.,Banks
128,KRIFILIND.BO,Krishna Filament Industries Ltd,Plastic Products
129,KSB.BO,KSB Ltd,Industrial Machinery
130,LGBBROSLTD.BO,L.G.BALAKRISHNAN & BROS.LTD.,Auto Parts & Equipment
131,TRENT.BO,TRENT LTD.,Specialty Retail
132,LAXMIMACH.BO,LAKSHMI MACHINE WORKS LTD.,Industrial Machinery
133,LICHSGFIN.BO,LIC HOUSING FINANCE LTD.,Housing Finance 
134,LUPIN.BO,LUPIN LTD.,Pharmaceuticals
135,LYKALABS.BO,LYKA LABS LTD.,Pharmaceuticals
136,RAMCOCEM.BO,The Ramco Cements Limited,Cement & Cement Products
137,MAFATIND.BO,MAFATLAL INDUSTRIES LTD.-$,Textiles
138,MAHSEAMLES.BO,MAHARASHTRA SEAMLESS LTD.,Iron & Steel Products
139,MAHSCOOTER.BO,MAHARASHTRA SCOOTERS LTD.,Investment Companies
140,MAJESAUT.BO,MAJESTIC AUTO LTD.-$,2/3 Wheelers
141,MANALIPETC.BO,MANALI PETROCHEMICAL LTD.,Petrochemicals
142,MFSL.BO,Max Financial Services Ltd,Life Insurance
143,MESPHAR-B.BO,MESCO PHARMACEUTICALS LTD.,Pharmaceuticals
144,MIDINDIA.BO,MID INDIA INDUSTRIES LTD.,Textiles
145,MIRCELECTR.BO,MIRC ELECTRONICS LTD.,Consumer Electronics
146,CENTENKA.BO,CENTURY ENKA LTD.,Textiles
147,LORDSCHLO.BO,LORDS CHLORO ALKALI LTD.,Commodity Chemicals
148,SPICEJET.BO,SPICEJET LTD.,Airlines
149,MOREPENLAB.BO,MOREPEN LABORATORIES LTD.,Pharmaceuticals
150,MRF.BO,MRF LTD.,Auto Tyres & Rubber Products
151,HEIDELBERG.BO,HEIDELBERGCEMENT INDIA LTD.,Cement & Cement Products
152,NCC.BO,NCC Limited,Construction & Engineering
153,VEDL.BO,Vedanta Limited,Aluminium
154,NAHARSPING.BO,NAHAR SPINNING MILLS LTD.,Textiles
155,NATPEROX.BO,NATIONAL PEROXIDE LTD.,Commodity Chemicals
156,GRASIM.BO,GRASIM INDUSTRIES LTD.,Cement & Cement Products
157,PEL.BO,PIRAMAL ENTERPRISES LTD.,Other Financial Services
158,NIITLTD.BO,NIIT LTD.,IT Training Services
159,JAYKAY.BO,JAYKAY ENTERPRISES LTD.,Finance (including NBFCs)
160,NIRLON.BO,NIRLON LTD.,Diversified Commercial Services
161,ONGC.BO,Oil and Natural Gas Corporation Ltd,Exploration & Production
162,OILCOUNTUB.BO,OIL COUNTRY TUBULAR LTD.,Oil Equipment & Services
163,ORIENTHOT.BO,ORIENTAL HOTELS LTD.,Hotels
164,OSWALAGRO.BO,OSWAL AGRO MILLS LTD.,Investment Companies
165,INDSUCR.BO,INDIAN SUCROSE LTD.,Sugar
166,RELIANCE.BO,RELIANCE INDUSTRIES LTD.,Integrated Oil & Gas
167,PILITA.BO,Pil Italica Lifestyle Ltd,Plastic Products
168,RAYMOND.BO,RAYMOND LTD.,Textiles
169,PIDILITIND.BO,PIDILITE INDUSTRIES LTD.,Specialty Chemicals
170,PIXTRANS.BO,PIX TRANSMISSIONS LTD.,Auto Tyres & Rubber Products
171,BIRLACORPN.BO,BIRLA CORPORATION LTD.,Cement & Cement Products
172,SURYAROSNI.BO,SURYA ROSHNI LTD.,Iron & Steel/Interm.Products
173,PRIMESECU.BO,PRIME SECURITIES LTD.,Other Financial Services
174,PRSMJOHNSN.BO,Prism Johnson Ltd,Cement & Cement Products
175,RAIN.BO,Rain Industries Ltd,Petrochemicals
176,AMJLAND.BO,AMJ Land Holdings Ltd,Realty
177,PUNJCOMMU.BO,PUNJAB COMMUNICATIONS LTD.-$,Telecom Equipment
178,RSWM.BO,RSWM LTD.,Textiles
179,RAJSREESUG.BO,RAJSHREE SUGARS & CHEMICALS LTD.,Sugar
180,RALLIS.BO,RALLIS INDIA LTD.,Agrochemicals
181,RAMANEWS.BO,SHREE RAMA NEWSPRINT LTD.,Paper & Paper Products
182,RAMAPPR-B.BO,RAMA PAPER MILLS LTD.,Paper & Paper Products
183,RAMAPETRO.BO,RAMA PETROCHEMICALS LTD.,Finance (including NBFCs)
184,RAPICUT.BO,RAPICUT CARBIDES LTD.,Industrial Machinery
185,WELSPLSOL.BO,Welspun Specialty Solutions Ltd,Iron & Steel/Interm.Products
186,ROLTA.BO,ROLTA INDIA LTD.,Internet Software & Services
187,RUBFILA.BO,RUBFILA INTERNATIONAL LTD.,Auto Tyres & Rubber Products
188,RUCHISOYA.BO,RUCHI SOYA INDUSTRIES LTD.,Edible Oils
189,SALORAINTL.BO,SALORA INTERNATIONAL LTD.,Comm.Trading  & Distribution
190,JINDALSAW.BO,JINDAL SAW LTD.,Iron & Steel Products
191,JKLAKSHMI.BO,JK LAKSHMI CEMENT LTD.,Cement & Cement Products
192,SHREECEM.BO,SHREE CEMENT LTD.,Cement & Cement Products
193,SKPMIL.BO,SHREE KRISHNA PAPER MILLS & INDUSTRIES LTD.,Paper & Paper Products
194,RELINFRA.BO,RELIANCE INFRASTRUCTURE LTD.,Electric Utilities
195,TATAPOWER.BO,TATA POWER CO.LTD.,Electric Utilities
196,SPMLINFRA.BO,SPML Infra Limited,Construction & Engineering
197,SUNDRMFAST.BO,SUNDRAM FASTENERS LTD.,Auto Parts & Equipment
198,SUNFLAG.BO,SUNFLAG IRON & STEEL CO.LTD.,Iron & Steel/Interm.Products
199,SUPPETRO.BO,SUPREME PETROCHEM LTD.,Petrochemicals
200,SWARAJENG.BO,SWARAJ ENGINES LTD.,Industrial Machinery
201,TATAELXSI.BO,TATA ELXSI LTD.,IT Software Products
202,ACC.BO,ACC LTD.,Cement & Cement Products
203,THERMAX.BO,THERMAX LTD.,Heavy Electrical Equipment
204,TIRUMALCHM.BO,THIRUMALAI CHEMICALS LTD.,Commodity Chemicals
205,THOMASCOOK.BO,THOMAS COOK (INDIA) LTD.,Travel Support Services
206,TIMEX.BO,TIMEX GROUP INDIA LTD.-$,Other Apparels & Accessories
207,TOKYOPLAST.BO,TOKYO PLAST INTERNATIONAL LTD.,Plastic Products
208,TORNTPHARM.BO,TORRENT PHARMACEUTICALS LTD.,Pharmaceuticals
209,TRANSCHEM.BO,TRANSCHEM LTD.-$,Pharmaceuticals
210,AMBUJACEM.BO,AMBUJA CEMENTS LTD.,Cement & Cement Products
211,UTLINDS.BO,UTL Industries Limited,Realty
212,UNIPHOS.BO,UNIPHOS ENTERPRISES LTD.,Comm.Trading  & Distribution
213,VHL.BO,VARDHMAN HOLDINGS LTD.,Finance (including NBFCs)
214,HINDALCO.BO,HINDALCO INDUSTRIES LTD.,Aluminium
215,WSTCSTPAPR.BO,WEST COAST PAPER MILLS LTD.,Paper & Paper Products
216,HOCL.BO,HINDUSTAN ORGANIC CHEMICALS LTD.,Commodity Chemicals
217,MPILCORPL.BO,MPIL CORPORATION LTD.,Other Financial Services
218,PASUPTAC.BO,PASUPATI ACRYLON LTD.,Fibres & Plastics
219,KORE.BO,Kore Foods Ltd,Other Food Products
220,PGHH.BO,PROCTER & GAMBLE HYGIENE & HEALTH CARE LTD.,Personal Products
221,MUKANDLTD.BO,MUKAND LTD.,Iron & Steel/Interm.Products
222,AGCNET.BO,AGC Networks Limited,IT Consulting & Software
223,UCALFUEL.BO,UCAL FUEL SYSTEMS LTD.,Auto Parts & Equipment
224,HARRMALAYA.BO,HARRISONS MALAYALAM LTD.,Auto Tyres & Rubber Products
225,FEDERALBNK.BO,FEDERAL BANK LTD.,Banks
226,TATASTEEL.BO,TATA STEEL LTD.,Iron & Steel/Interm.Products
227,SKFINDIA.BO,SKF India Ltd,Other Industrial Goods
228,ASHOKLEY.BO,ASHOK LEYLAND LTD.,Commercial Vehicles
229,CUMMINSIND.BO,CUMMINS INDIA LTD.,Industrial Machinery
230,TATACOMM.BO,TATA COMMUNICATIONS LTD.,Telecom - Alternate Carriers
231,ABBOTINDIA.BO,ABBOTT INDIA LTD.,Pharmaceuticals
232,BAJAJHLDNG.BO,BAJAJ HOLDINGS & INVESTMENT LTD.,Holding Companies
233,BHARATFORG.BO,BHARAT FORGE LTD.,Other Industrial Products
234,ESCORTS.BO,ESCORTS LTD.,Commercial Vehicles
235,HINDMOTORS.BO,HINDUSTAN MOTORS LTD.,Cars & Utility Vehicles
236,LT.BO,LARSEN & TOUBRO LTD.,Construction & Engineering
237,M&M.BO,MAHINDRA & MAHINDRA LTD.,Cars & Utility Vehicles
238,BOSCHLTD.BO,BOSCH LTD.,Auto Parts & Equipment
239,PREMIER.BO,PREMIER LTD.,Industrial Machinery
240,BPCL.BO,BHARAT PETROLEUM CORPORATION LTD.,Refineries/ Petro-Products
241,SIEMENS.BO,SIEMENS LTD.,Heavy Electrical Equipment
242,TATAMOTORS.BO,TATA MOTORS LTD.,Commercial Vehicles
243,VOLTAS.BO,VOLTAS LTD.,Consumer Electronics
244,GESHIP.BO,GREAT EASTERN SHIPPING CO.LTD.,Shipping
245,DEEPAKFERT.BO,DEEPAK FERTILISERS & PETROCHEMICALS CORPORATION LTD.,Commodity Chemicals
246,EXCELINDUS.BO,EXCEL INDUSTRIES LTD.,Specialty Chemicals
247,GRWRHITECH.BO,Garware Hi-Tech Films Ltd,Commodity Chemicals
248,GLAXO.BO,GLAXOSMITHKLINE PHARMACEUTICALS LTD.,Pharmaceuticals
249,GNFC.BO,GUJARAT NARMADA VALLEY FERTILIZERS & CHEMICALS LTD.,Fertilizers
250,NOVARTIND.BO,NOVARTIS INDIA LTD.,Pharmaceuticals
251,SANOFI.BO,Sanofi India Ltd,Pharmaceuticals
252,PFIZER.BO,PFIZER LTD.,Pharmaceuticals
253,GSFC.BO,GUJARAT STATE FERTILIZERS & CHEMICALS LTD.,Fertilizers
254,HINDUNILVR.BO,HINDUSTAN UNILEVER LTD.,Personal Products
255,AKZOINDIA.BO,Akzo Nobel India Limited,Furniture-Furnishing-Paints
256,NOCIL.BO,NOCIL LTD.,Specialty Chemicals
257,TATACHEM.BO,TATA CHEMICALS LTD.,Commodity Chemicals
258,TNPETRO.BO,TAMILNADU PETROPRODUCTS LTD.,Commodity Chemicals
259,ZUARIGLOB.BO,ZUARI GLOBAL LTD.,Sugar
260,NESTLEIND.BO,NESTLE INDIA LTD.,Packaged Foods
261,TATACONSUM.BO,Tata Consumer Products Ltd,Tea & Coffee
262,ASIANPAINT.BO,ASIAN PAINTS LTD.,Furniture-Furnishing-Paints
263,BRITANNIA.BO,BRITANNIA INDUSTRIES LTD.,Packaged Foods
264,COLPAL.BO,COLGATE-PALMOLIVE (INDIA) LTD.,Personal Products
265,EIHOTEL.BO,EIH LTD.,Hotels
266,INDHOTEL.BO,INDIAN HOTELS CO.LTD.,Hotels
267,CASTROLIND.BO,CASTROL INDIA LTD.,Oil Marketing & Distribution
268,ITC.BO,ITC LTD.,Cigarettes-Tobacco Products
269,APOLLOTYRE.BO,APOLLO TYRES LTD.,Auto Tyres & Rubber Products
270,CEATLTD.BO,CEAT LTD.,Auto Tyres & Rubber Products
271,MODIRUBBER.BO,MODI RUBBER LTD.,Auto Tyres & Rubber Products
272,FINOLEXIND.BO,FINOLEX INDUSTRIES LTD.,Plastic Products
273,SUNRINV.BO,SUNRISE INDUSTRIAL TRADERS LTD.,Other Financial Services
274,ZGOLDINV.BO,GOLD ROCK INVESTMENTS LTD.,Comm.Trading  & Distribution
275,PEOPLIN.BO,PEOPLES INVESTMENTS LTD.,Diversified Commercial Services
276,DSINVEST.BO,DALAL STREET INVESTMENTS LTD.,Investment Companies
277,CENTRUM.BO,CENTRUM CAPITAL LTD.,Other Financial Services
278,KARTKIN.BO,KARTIK INVESTMENTS TRUST LTD.,Other Financial Services
279,TCIFINANCE.BO,TCI FINANCE LTD.,Finance (including NBFCs)
280,KRATOSENER.BO,KRATOS ENERGY & INFRASTRUCTURE LTD.,Other Financial Services
281,ANTARIKSH.BO,Antariksh Industries Ltd,Realty
282,IITL.BO,INDUSTRIAL INVESTMENT TRUST LTD.,Finance (including NBFCs)
283,INDPRUD.BO,INDUSTRIAL & PRUDENTIAL INVESTMENTS CO.LTD.,Investment Companies
284,TATAINVEST.BO,TATA INVESTMENT CORPORATION LTD.,Holding Companies
285,JAYBHCR.BO,JAYABHARAT CREDIT LTD.-$,Finance (including NBFCs)
286,PRISMX.BO,Prismx Global Ventures Ltd,Comm.Trading  & Distribution
287,MOTOGENFIN.BO,MOTOR & GENERAL FINANCE LTD.,Finance (including NBFCs)
288,RAPIDIN.BO,RAPID INVESTMENTS LTD.,Diversified Commercial Services
289,WALCHPF.BO,WALCHAND PEOPLEFIRST LTD.,Consulting Services
290,ZSWASTSA.BO,SWASTIK SAFE DEPOSIT & INVESTMENTS LTD.,Other Financial Services
291,WHBRADY.BO,W.H.BRADY & CO.LTD.,Comm.Trading  & Distribution
292,TECHNVISN.BO,TECHNVISION VENTURES LTD.,IT Software Products
293,SHAILY.BO,SHAILY ENGINEERING PLASTICS LTD.,Plastic Products
294,BBTC.BO,BOMBAY BURMAH TRADING CORP.LTD.,Tea & Coffee
295,BOMBCYC.BO,BOMBAY CYCLE & MOTOR AGENCY LTD.,Comm.Trading  & Distribution
296,GREAVESCOT.BO,GREAVES COTTON LTD.,Industrial Machinery
297,MULLER.BO,MULLER & PHIPPS (INDIA) LTD.,Comm.Trading  & Distribution
298,AMALGAM.BO,AMALGAMATED ELECTRICITY CO.LTD.,Diversified Commercial Services
299,ANANDPROJ.BO,Anand Projects Ltd,Construction & Engineering
300,INDIANVSH.BO,INDIANIVESH LTD.,Finance (including NBFCs)
301,COASTCORP.BO,COASTAL CORPORATION LTD.,Packaged Foods
302,CHOWGULSTM.BO,CHOWGULE STEAMSHIPS LTD.,Shipping
303,GLOBOFFS.BO,GLOBAL OFFSHORE SERVICES LTD.-$,Shipping
304,DHENUBUILD.BO,DHENU BUILDCON INFRA LTD.,Finance (including NBFCs)
305,ASIIL.BO,ASI Industries Ltd,Mining
306,SAGCEM.BO,SAGAR CEMENTS LTD.-$,Cement & Cement Products
307,DECCANCE.BO,DECCAN CEMENTS LTD.-$,Cement & Cement Products
308,MANGLMCEM.BO,MANGALAM CEMENT LTD.,Cement & Cement Products
309,NCLIND.BO,NCL INDUSTRIES LTD.-$,Cement & Cement Products
310,SAURASHCEM.BO,SAURASHTRA CEMENT LTD.,Cement & Cement Products
311,SHREDIGCEM.BO,SHREE DIGVIJAY CEMENT CO.LTD.-$,Cement & Cement Products
312,BOMBPOT.BO,BOMBAY POTTERIES & TILES LTD.,Realty
313,BORORENEW.BO,Borosil Renewables Ltd,Houseware
314,LERTHAI.BO,Lerthai Finance Ltd,Construction Materials
315,RASSIREF.BO,RAASI REFRACTORIES LTD.-$,Other Industrial Goods
316,TRIVENIGQ.BO,TRIVENI GLASS LTD.-$,Construction Materials
317,NILACHAL.BO,NILACHAL REFRACTORIES LTD.,Construction Materials
318,ANDHRAPAP.BO,Andhra Paper Ltd,Paper & Paper Products
319,BALKRISIND.BO,BALKRISHNA INDUSTRIES LTD.-$,Auto Tyres & Rubber Products
320,ORIENTPPR.BO,ORIENT PAPER & INDUSTRIES LTD.,Paper & Paper Products
321,CITADEL.BO,CITADEL REALTY AND DEVELOPERS LTD.,Realty
322,ROLLT.BO,ROLLATAINERS LTD.,Containers & Packaging
323,SESHAPAPER.BO,SESHASAYEE PAPER & BOARDS LTD.,Paper & Paper Products
324,SOLIDCO.BO,SOLID CONTAINERS LTD.,Paper & Paper Products
325,SHBHAWPA.BO,SHREE BHAWANI PAPER MILLS LTD.,Paper & Paper Products
326,NATHIND.BO,Nath Industries Ltd,Paper & Paper Products
327,VAPIPPR.BO,VAPI PAPER MILLS LTD.,Paper & Paper Products
328,SINTEX.BO,SINTEX INDUSTRIES LTD.,Textiles
329,DCM.BO,DCM LTD.,Other Industrial Products
330,ZGAEKWAR.BO,GAEKWAR MILLS LTD.,Textiles
331,FORBESCO.BO,FORBES & COMPANY LTD.-$,Industrial Machinery
332,HPCOTTON.BO,H.P.COTTON TEXTILE MILLS LTD.,Textiles
333,UNITEDINT.BO,UNITED INTERACTIVE LTD.,Internet Software & Services
334,JAMSHRI.BO,Jamshri Realty Ltd-$,Textiles
335,KATRSPG.BO,KATARE SPINNING MILLS LTD.,Textiles
336,KESORAMIND.BO,KESORAM INDUSTRIES LTD.,Cement & Cement Products
337,LAKSHMIMIL.BO,LAKSHMI MILLS COMPANY LTD.-$,Textiles
