,Ticker,Company,Sector
859,CAPRICORN.BO,CAPRICORN SYSTEMS GLOBAL SOLUTIONS LTD.,Diversified Commercial Services
860,VAMA.BO,VAMA INDUSTRIES LTD.,IT Consulting & Software
861,SUNTECK.BO,SUNTECK REALTY LTD.,Realty
862,BENTCOM.BO,BENTLEY COMMERCIAL ENTERPRISES LTD.,Diversified Commercial Services
863,SILVERO.BO,SILVER OAK COMMERCIAL LTD.,Finance (including NBFCs)
864,CLASELE.BO,CLASSIC ELECTRICALS LTD.,Comm.Trading  & Distribution
865,STEPHANOTIS.BO,Stephanotis Finance Ltd,Other Financial Services
866,PRISMMEDI.BO,PRISM MEDICO AND PHARMACY LTD.,Finance (including NBFCs)
867,SPVGLOBAL.BO,SPV Global Trading Ltd,Finance (including NBFCs)
868,VERITAS.BO,VERITAS (INDIA) LTD.,Comm.Trading  & Distribution
869,JAICORPLTD.BO,JAI CORP LTD.,Plastic Products
870,ZNIVITRD.BO,NIVI TRADING LTD.,Diversified Commercial Services
871,ASHCAP.BO,ASHIRWAD CAPITAL LTD.,Other Financial Services
872,SVARTCORP.BO,Swasti Vinayaka Art And Heritage Corporation Ltd,Diversified
873,BAJGLOB.BO,BAJAJ GLOBAL LTD.,Comm.Trading  & Distribution
874,MMWL.BO,MEDIA MATRIX WORLDWIDE LTD.,Movies & Entertainment
875,TASHIND.BO,TASHI INDIA LTD.,Diversified Commercial Services
876,AUTOINT.BO,AUTORIDERS INTERNATIONAL LTD.,Transportation - Logistics
877,NNTL.BO,N2N Technologies Limited,Diversified Commercial Services
878,ZSPEEDCO.BO,SPEEDAGE COMMERCIALS LTD.,Other Financial Services
879,BHAGYNAGAR.BO,BHAGYANAGAR INDIA LTD.,Copper
880,SHANTAI.BO,Shantai Industries Ltd,Industrial Machinery
881,CHMBBRW.BO,CHAMBAL BREWERIES & DISTILLERIES LTD.,Comm.Trading  & Distribution
882,ZMANSOON.BO,MANSOON TRADING CO.LTD.,Diversified Commercial Services
883,KRL.BO,Kintech Renewables Ltd,Diversified Commercial Services
884,MAHSHRE.BO,MAHASHREE TRADING LTD.,Comm.Trading  & Distribution
885,CESL.BO,CES Limited,BPO/KPO
886,ARAVALIS.BO,ARAVALI SECURITIES & FINANCE LTD.,Comm.Trading  & Distribution
887,YASTF.BO,YASH TRADING & FINANCE LTD.,Other Financial Services
888,SWORDEDGE.BO,Sword-Edge Commercials Limited,Comm.Trading  & Distribution
889,ZSHERAPR.BO,SHERATON PROPERTIES & FINANCE LTD.,Other Financial Services
890,MAGANTR.BO,MAGNANIMOUS TRADE & FINANCE LTD.,Diversified Commercial Services
891,CRESSAN.BO,CRESSANDA SOLUTIONS LTD.,IT Software Products
892,STARTECK.BO,Starteck Finance Ltd,Comm.Trading  & Distribution
893,SHARDUL.BO,SHARDUL SECURITIES LTD.,Other Financial Services
894,KAPASHI.BO,KAPASHI COMMERCIALS LTD.,Other Financial Services
895,BENGALS.BO,BENGAL STEEL INDUSTRIES LTD.,Iron & Steel/Interm.Products
896,UNIWSEC.BO,UNIWORTH SECURITIES LTD.,Textiles
897,MERCTRD.BO,MERCURY TRADE LINKS LTD.,Diversified Commercial Services
898,NIRAVCOM.BO,NIRAV COMMERCIALS LTD.,Comm.Trading  & Distribution
899,ASUTENT.BO,ASUTOSH ENTERPRISES LTD.,Comm.Trading  & Distribution
900,APOLLOFI.BO,APOLLO FINVEST (INDIA) LTD.,Other Financial Services
901,ENBETRD.BO,ENBEE TRADE & FINANCE LTD.,Diversified Commercial Services
902,GANONPRO.BO,Ganon Products Ltd,Comm.Trading  & Distribution
903,DEVITRD.BO,DEVINSU TRADING LTD.,Other Financial Services
904,SHRJAGP.BO,SHRI JAGDAMBA POLYMERS LTD.,Containers & Packaging
905,LLOYDSME.BO,LLOYDS METALS AND ENERGY LTD.,Iron & Steel/Interm.Products
906,PUNCTRD.BO,PUNCTUAL TRADING LTD.,Comm.Trading  & Distribution
907,SHRGLTR.BO,SHREE GLOBAL TRADEFIN LTD.,Finance (including NBFCs)
908,BETXIND.BO,BETEX INDIA LTD.,Textiles
909,GYTRIPA.BO,GAYATRI TISSUE & PAPERS LTD.,Realty
910,POLYTEX.BO,POLYTEX INDIA LTD.,Finance (including NBFCs)
911,DHANCOT.BO,DHANLAXMI COTEX LTD.,Comm.Trading  & Distribution
912,OASISEC.BO,OASIS SECURITIES LTD.,Finance (including NBFCs)
913,GARNETINT.BO,GARNET INTERNATIONAL LTD.,Other Financial Services
914,SHALPRO.BO,SHALIMAR PRODUCTIONS LTD.,Other Financial Services
915,VARUNME.BO,VARUN MERCANTILE LTD.,Diversified Commercial Services
916,DONEAR.BO,DONEAR INDUSTRIES LTD.-$,Textiles
917,NEPTEXP.BO,NEPTUNE EXPORTS LTD.,Comm.Trading  & Distribution
918,SUPER.BO,SUPER SALES INDIA LTD.-$,Textiles
919,SEQUENT.BO,SEQUENT SCIENTIFIC LTD.,Pharmaceuticals
920,STCINDIA.BO,STATE TRADING CORPORATION OF INDIA LTD.,Comm.Trading  & Distribution
921,ZENITHEXPO.BO,ZENITH EXPORTS LTD.,Textiles
922,RTEXPO.BO,R.T.EXPORTS LTD.-$,Comm.Trading  & Distribution
923,AVANTI.BO,AVANTI FEEDS LTD.-$,Other Food Products
924,ZODJRDMKJ.BO,ZODIAC-JRD-MKJ LTD.,Other Apparels & Accessories
925,SITAENT.BO,SITA ENTERPRISES LTD.,Comm.Trading  & Distribution
926,UNIMOVR.BO,UNIMODE OVERSEAS LTD.,Other Apparels & Accessories
927,KEYFINSER.BO,Keynote Financial Services Ltd,Finance (including NBFCs)
928,ADANIENT.BO,ADANI ENTERPRISES LTD.,Comm.Trading  & Distribution
929,MACINTR.BO,MACRO (INTERNATIONAL) EXPORTS LTD.,Comm.Trading  & Distribution
930,HARIAEXPO.BO,HARIA EXPORTS LTD.-$,Other Apparels & Accessories
931,BHANDHOS.BO,BHANDARI HOSIERY EXPORTS LTD.,Other Apparels & Accessories
932,RLF.BO,RLF LTD.,Textiles
933,REGENTRP.BO,Regent Enterprises Ltd,Comm.Trading  & Distribution
934,ORBTEXP.BO,ORBIT EXPORTS LTD.,Textiles
935,SAVERA.BO,SAVERA INDUSTRIES LTD.,Hotels
936,VBCFERROQ.BO,VBC FERRO ALLOYS LTD.-$,Iron & Steel/Interm.Products
937,TATASTLLP.BO,Tata Steel Long Products Ltd,Iron & Steel/Interm.Products
938,NBVENTURES.BO,NAVA BHARAT VENTURES LTD.,Electric Utilities
939,ZHINUDYP.BO,HINDUSTHAN UDYOG LTD.,Industrial Machinery
940,REMIEDEL.BO,Remi Edelstahl Tubulars Limited,Iron & Steel Products
941,GSAUTO.BO,G.S.AUTO INTERNATIONAL LTD.,Auto Parts & Equipment
942,TRANSFRE.BO,TRANS-FREIGHT CONTAINERS LTD.,Iron & Steel Products
943,SHBCLQ.BO,SHIVALIK BIMETAL CONTROLS LTD.,Electronic Components
944,GANDHITUBE.BO,GANDHI SPECIAL TUBES LTD.-$,Iron & Steel Products
945,AMFORG.BO,AMFORGE INDUSTRIES LTD.,Auto Parts & Equipment
946,ORICON.BO,ORICON ENTERPRISES LTD.-$,Containers & Packaging
947,ACROW.BO,ACROW INDIA LTD.,Iron & Steel Products
948,STLSTRINF.BO,STEEL STRIPS INFRASTRUCTURES LTD.,Realty
949,NATNLSTEEL.BO,NATIONAL STEEL & AGRO INDUSTRIES LTD.,Iron & Steel/Interm.Products
950,UTTAMSTL.BO,UTTAM GALVA STEELS LTD.,Iron & Steel/Interm.Products
951,PENIND.BO,PENNAR INDUSTRIES LTD.-$,Iron & Steel/Interm.Products
952,JYOTISTRUC.BO,JYOTI STRUCTURES LTD.,Heavy Electrical Equipment
953,JAYUSH.BO,JAY USHIN LTD.,Auto Parts & Equipment
954,SSWL.BO,STEEL STRIPS WHEELS LTD.-$,Auto Parts & Equipment
955,MANINDS.BO,MAN INDUSTRIES (INDIA) LTD.-$,Iron & Steel Products
956,IMEC.BO,Imec Services Ltd,Consulting Services
957,MDRNSTL.BO,MODERN STEELS LTD.-$,Iron & Steel/Interm.Products
958,TERRASCOPE.BO,Terrascope Ventures Ltd,Diversified Commercial Services
959,SYNTHFO.BO,SYNTHIKO FOILS LTD.,Aluminium
960,GOLKONDA.BO,Golkonda Aluminium Extrusions Ltd-$,Aluminium
961,METALFORGE.BO,Metalyst Forgings Limited,Other Industrial Products
962,GRANDFONRY.BO,GRAND FOUNDRY LTD.,Iron & Steel Products
963,AJMERA.BO,AJMERA REALTY & INFRA INDIA LTD.,Realty
964,COCHINM.BO,COCHIN MINERALS & RUTILE LTD.-$,Specialty Chemicals
965,ISWL.BO,INDIA STEEL WORKS LTD.,Iron & Steel/Interm.Products
966,RJKMRFR.BO,RAJKUMAR FORGE LTD.,Other Industrial Products
967,CARBORUNIV.BO,CARBORUNDUM UNIVERSAL LTD.,Other Industrial Products
968,MMTC.BO,MMTC LTD.,Comm.Trading  & Distribution
969,VALLABHSQ.BO,VALLABH STEELS LTD.-$,Iron & Steel Products
970,ASHIS.BO,ASHIANA ISPAT LTD.,Iron & Steel/Interm.Products
971,PMTELELIN.BO,P.M.TELELINNKS LTD.,Iron & Steel/Interm.Products
972,SMFIL.BO,Smiths & Founders (India) Limited,Other Industrial Products
973,TATAMETALI.BO,TATA METALIKS LTD.,Iron & Steel/Interm.Products
974,SHAHALLOYS.BO,SHAH ALLOYS LTD.,Iron & Steel/Interm.Products
975,JSWISPL.BO,JSW Ispat Special Products Ltd,Iron & Steel/Interm.Products
976,ELANGO.BO,ELANGO INDUSTRIES LTD.,Iron & Steel/Interm.Products
977,KANSHST.BO,KANISHK STEEL INDUSTRIES LTD.,Iron & Steel Products
978,MAHALXSE.BO,MAHALAXMI SEAMLESS LTD.-$,Iron & Steel Products
979,SIMPLEXCAS.BO,SIMPLEX CASTINGS LTD.,Other Industrial Products
980,SSWRL.BO,SHREE STEEL WIRE ROPES LTD.,Iron & Steel Products
981,MEWATZI.BO,MEWAT ZINC LTD.,Zinc
982,SOUTHMG.BO,SOUTHERN MAGNESIUM & CHEMICALS LTD.,Mining
983,BAROEXT.BO,BARODA EXTRUSION LTD.,Copper
984,GUJCONT.BO,GUJARAT CONTAINERS LTD.,Iron & Steel Products
985,KALYANIFRG.BO,KALYANI FORGE LTD.,Auto Parts & Equipment
986,PANCHMAHQ.BO,PANCHMAHAL STEEL LTD.,Iron & Steel/Interm.Products
987,ADITYA.BO,ADITYA ISPAT LTD.,Iron & Steel/Interm.Products
988,SRIND.BO,S.R.INDUSTRIES LTD.,Textiles
989,STEELCAS.BO,STEELCAST LTD.,Other Industrial Products
990,PITTIENG.BO,Pitti Engineering Ltd-$,Other Elect.Equip./ Prod.
991,GLITTEKG.BO,GLITTEK GRANITES LTD.,Construction Materials
992,PRADPME.BO,PRADEEP METALS LTD.,Auto Parts & Equipment
993,GNRL.BO,Gujarat Natural Resources Limited,Exploration & Production
994,TNSTLTU.BO,TAMILNADU STEEL TUBES LTD.,Iron & Steel Products
995,SHRDAIS.BO,SHARDA ISPAT LTD.,Iron & Steel/Interm.Products
996,MAHASTEEL.BO,MAHAMAYA STEEL INDUSTRIES LTD.,Iron & Steel Products
997,REALSTR.BO,REAL STRIPS LTD.-$,Iron & Steel/Interm.Products
998,NOVIS.BO,NOVA IRON & STEEL LTD.,Iron & Steel/Interm.Products
999,FFPL.BO,FOUNDRY FUEL PRODUCTS LTD.,Coal
1000,HINDCOPPER.BO,HINDUSTAN COPPER LTD.,Copper
1001,SRIPIPES.BO,Srikalahasthi Pipes Limited,Iron & Steel Products
1002,AXELPOLY.BO,AXEL POLYMERS LTD.,Plastic Products
1003,NLCINDIA.BO,NLC India Ltd,Electric Utilities
1004,SPECTRA.BO,SPECTRA INDUSTRIES LTD.,Auto Parts & Equipment
1005,JMTAUTOLTD.BO,JMT AUTO LTD.,Auto Parts & Equipment
1006,KAJARIR.BO,KIC METALIKS LTD.,Iron & Steel/Interm.Products
1007,SOLIDSTON.BO,SOLID STONE COMPANY LTD.,Construction Materials
1008,SHILGRAVQ.BO,SHILP GRAVURES LTD.-$,Industrial Machinery
1009,WHITEORG.BO,White Organic Agro Ltd,Other Agricultural Products
1010,MFSINTRCRP.BO,MFS INTERCORP LTD.,Iron & Steel/Interm.Products
1011,HGIND.BO,HG Industries Ltd-$,Construction Materials
1012,AROGRANITE.BO,ARO GRANITE INDUSTRIES LTD.-$,Construction Materials
1013,HIMFIBP.BO,HIMACHAL FIBRES LTD.,Textiles
1014,RAJKSYN.BO,RAJKAMAL SYNTHETICS LTD.,Textiles
1015,DEEPAKSP.BO,DEEPAK SPINNERS LTD.-$,Textiles
1016,JBFIND.BO,JBF INDUSTRIES LTD.,Fibres & Plastics
1017,LOYALTEX.BO,LOYAL TEXTILE MILLS LTD.-$,Textiles
1018,HIMATSEIDE.BO,HIMATSINGKA SEIDE LTD.,Textiles
1019,BSL.BO,BSL LTD.,Textiles
1020,EVERTEX.BO,Evergreen Textiles Limited,Textiles
1021,PBMPOLY.BO,PBM POLYTEX LTD.-$,Textiles
1022,ADINATH.BO,ADINATH TEXTILES LTD.,Textiles
1023,KONARKSY.BO,KONARK SYNTHETIC LTD.,Textiles
1024,SURYALA.BO,SURYALATA SPINNING MILLS LTD.-$,Textiles
1025,SURYVANSP.BO,SURYAVANSHI SPINNING MILLS LTD.-$,Textiles
1026,TTL.BO,T T LTD.-$,Textiles
1027,UNIWORTH.BO,UNIWORTH LTD.,Textiles
1028,WELSPUNIND.BO,WELSPUN INDIA LTD.,Textiles
1029,INDIANACRY.BO,INDIAN ACRYLICS LTD.,Fibres & Plastics
1030,GANECOS.BO,GANESHA ECOSPHERE LTD.,Textiles
1031,CEETAIN.BO,CEETA INDUSTRIES LTD.,Construction Materials
1032,VARDMNPOLY.BO,VARDHMAN POLYTEX LTD.,Textiles
1033,BLACKROSE.BO,BLACK ROSE INDUSTRIES LTD.,Specialty Chemicals
1034,STCORP.BO,S&T CORPORATION LTD.,Textiles
1035,SUMEETINDS.BO,SUMEET INDUSTRIES LTD.-$,Textiles
1036,BINNY.BO,BINNY LTD.,Textiles
1037,RAMGOPOLY.BO,RAMGOPAL POLYTEX LTD.,Comm.Trading  & Distribution
1038,SANGAMIND.BO,SANGAM (INDIA) LTD.,Textiles
1039,TTLEL.BO,TTL Enterprises Ltd,Comm.Trading  & Distribution
1040,IKAB.BO,IKAB SECURITIES & INVESTMENT LTD.,Other Financial Services
1041,KUSHIND.BO,Kush Industries Ltd,Textiles
1042,SRECR.BO,SREECHEM RESINS LTD.,Commodity Chemicals
1043,SURBHIN.BO,SURBHI INDUSTRIES LTD.,Textiles
1044,SEASONST.BO,SEASONS TEXTILES LTD.-$,Textiles
1045,ZENIFIB.BO,ZENITH FIBRES LTD.-$,Textiles
1046,BHILSPIN.BO,BHILWARA SPINNERS LTD.,Textiles
1047,AARVEEDEN.BO,AARVEE DENIMS & EXPORTS LTD.,Textiles
1048,SANTETX.BO,SANRHEA TECHNICAL TEXTILES LTD.,Textiles
1049,ASHIMASYN.BO,ASHIMA LTD.,Textiles
1050,PIONEEREMB.BO,PIONEER EMBROIDERIES LTD.-$,Textiles
1051,VIPPYSP.BO,VIPPY SPINPRO LTD.,Textiles
1052,JAIHINDS.BO,JAIHIND SYNTHETICS LTD.,Textiles
1053,RAGHUSYN.BO,RAGHUVIR SYNTHETICS LTD.,Textiles
1054,JATTAINDUS.BO,JATTASHANKAR INDUSTIES LTD.,Textiles
1055,KAMADGIRI.BO,KAMADGIRI FASHION LTD.-$,Textiles
1056,OMNITEX.BO,OMNITEX INDUSTRIES (INDIA) LTD.,Textiles
1057,PATSPINLTD.BO,PATSPIN INDIA LTD.,Textiles
1058,ONEGLOBAL.BO,One Global Service Provider Ltd,Textiles
1059,NEOINFRA.BO,NEO INFRACON LTD.,Realty
1060,GENESIS.BO,Genesis Ibrc India Ltd,Biotechnology
1061,PREMIERPOL.BO,PREMIER POLYFILM LTD.,Plastic Products
1062,EVERLON.BO,EVERLON SYNTHETICS LTD.,Textiles
1063,KRRAIL.BO,K&R Rail Engineering Ltd,Construction & Engineering
1064,YARNSYN.BO,YARN SYNDICATE LTD.,Comm.Trading  & Distribution
1065,GUJCOTEX.BO,GUJARAT COTEX LTD.,Textiles
1066,AJIL.BO,Atlas Jewellery India Limited,Other Apparels & Accessories
1067,GARWSYN.BO,GARWARE SYNTHETICS LTD.,Comm.Trading  & Distribution
1068,SHARDFI.BO,SHARAD FIBRES & YARN PROCESSORS LTD.,Textiles
1069,SARUPINDUS.BO,SARUP INDUSTRIES LTD.-$,Other Apparels & Accessories
1070,MANORG.BO,Mangalam Organics Limited,Commodity Chemicals
1071,HINDADH.BO,HINDUSTAN ADHESIVES LTD.,Plastic Products
1072,BPTEX.BO,Blue Pearl Texspin Limited,Commodity Chemicals
1073,SRIKPRIND.BO,SRI KPR INDUSTRIES LTD.,Plastic Products
1074,JYOTIRES.BO,JYOTI RESINS & ADHESIVES LTD.,Specialty Chemicals
1075,MHLXMIRU.BO,MAHALAXMI RUBTECH LTD.,Other Industrial Products
1076,SOUTLAT.BO,SOUTHERN LATEX LTD.,Textiles
1077,OSWAYRN.BO,OSWAL YARNS LTD.,Comm.Trading  & Distribution
1078,WINSOMTX.BO,WINSOME TEXTILE INDUSTRIES LTD.-$,Textiles
1079,ASAHIIND.BO,Asahi Industries Limited,Textiles
1080,THAMBBI.BO,THAMBBI MODERN SPINNING MILLS LTD.,Textiles
1081,MODINSU.BO,MODERN INSULATORS LTD.,Other Elect.Equip./ Prod.
1082,ASAHIINDIA.BO,ASAHI INDIA GLASS LTD.,Auto Parts & Equipment
1083,MURUDCERA.BO,MURUDESHWAR CERAMICS LTD.,Furniture-Furnishing-Paints
1084,SAINTGOBAIN.BO,SAINT-GOBAIN SEKURIT INDIA LTD.,Furniture-Furnishing-Paints
1085,ANANTRAJ.BO,Anant Raj Limited-$,Realty
1086,MADHUDIN.BO,MADHUSUDAN INDUSTRIES LTD.,Edible Oils
1087,RESTILE.BO,RESTILE CERAMICS LTD.,Furniture-Furnishing-Paints
1088,MADHAV.BO,MADHAV MARBLES & GRANITES LTD.,Construction Materials
1089,RAMASIGNS.BO,Ramasigns Industries Ltd,Comm.Trading  & Distribution
1090,HINDNATGLS.BO,HINDUSTHAN NATIONAL GLASS & INDUSTRIES LTD.-$,Containers & Packaging
1091,HALDYNGL.BO,Haldyn Glass Ltd-$,Containers & Packaging
1092,DUROPLY.BO,Duroply Industries Ltd,Forest Products
1093,MANGTIMBER.BO,MANGALAM TIMBER PRODUCTS LTD.,Forest Products
1094,SHREYANIND.BO,SHREYANS INDUSTRIES LTD.-$,Paper & Paper Products
1095,AGIOPAPER.BO,AGIO PAPER & INDUSTRIES LTD.-$,Paper & Paper Products
1096,STARPAPER.BO,STAR PAPER MILLS LTD.,Paper & Paper Products
1097,YASHPAKKA.BO,Yash Pakka Ltd-$,Paper & Paper Products
1098,SARDAPPR.BO,SARDA PAPERS LTD.,Paper & Paper Products
1099,NATPLY.BO,NATIONAL PLYWOOD INDUSTRIES LTD.,Forest Products
1100,ARROWGREEN.BO,Arrow Greentech Ltd,Plastic Products
1101,VISHNU.BO,VISHNU CHEMICALS LTD.,Specialty Chemicals
1102,JUMBO.BO,JUMBO BAG LTD.,Containers & Packaging
1103,NRAGRINDQ.BO,N.R.AGARWAL INDUSTRIES LTD.,Paper & Paper Products
1104,SRPML.BO,SHREE RAJESHWARANAND PAPER MILLS LTD.,Paper & Paper Products
1105,3PLAND.BO,3P Land Holdings Ltd,Investment Companies
1106,SANPA.BO,SANGAL PAPERS LTD.,Paper & Paper Products
1107,SHKARTP.BO,SHREE KARTHIK PAPERS LTD.,Paper & Paper Products
1108,STHINPA.BO,SOUTH INDIA PAPER MILLS LTD.,Paper & Paper Products
1109,SCANDENT.BO,Scandent Imaging Limited,Healthcare Services
1110,VINDHYATEL.BO,VINDHYA TELELINKS LTD.,Telecom Cables
1111,RIR.BO,RUTTONSHA INTERNATIONAL RECTIFIER LTD.,Electronic Components
1112,ADORWELD.BO,ADOR WELDING LTD.,Other Industrial Goods
1113,IDM.BO,INTERNATIONAL DATA MANAGEMENT LTD.,Consulting Services
1114,SALZER.BO,SALZER ELECTRONICS LTD.-$,Other Elect.Equip./ Prod.
1115,JETKINGQ.BO,JETKING INFOTRAIN LTD.,IT Training Services
1116,INDAGIV.BO,IND-AGIV COMMERCE LTD.,Comm.Trading  & Distribution
1117,APLAB.BO,APLAB LTD.-$,Other Elect.Equip./ Prod.
1118,PCS.BO,PCS TECHNOLOGY LTD.,Computer Hardware
1119,USHAMART.BO,USHA MARTIN LTD.,Iron & Steel Products
1120,SPELS.BO,SPEL SEMICONDUCTOR LTD.,Electronic Components
1121,SUBROS.BO,SUBROS LTD.,Auto Parts & Equipment
1122,KLKELEC.BO,KLK Electrical Ltd,Other Elect.Equip./ Prod.
1123,PERVASIVE.BO,Pervasive Commodities Ltd,Electronic Components
1124,HONAUT.BO,HONEYWELL AUTOMATION INDIA LTD.,Other Elect.Equip./ Prod.
1125,SWITCHTE.BO,SWITCHING TECHNOLOGIES GUNTHER LTD.,Electronic Components
1126,LUMAXIND.BO,LUMAX INDUSTRIES LTD.,Auto Parts & Equipment
1127,DIGISPICE.BO,Digispice Technologies Ltd-$,Telecom Equipment
1128,PAEL.BO,PAE LTD.,Comm.Trading  & Distribution
1129,CALCOM.BO,CALCOM VISION LTD.,Consumer Electronics
1130,DYNAVSN.BO,DYNAVISION LTD.,Electronic Components
1131,BCCFUBA.BO,BCC FUBA INDIA LTD.,Electronic Components
1132,PRECISIO.BO,PRECISION ELECTRONICS LTD.,Electronic Components
1133,FINELINE.BO,FINE-LINE CIRCUITS LTD.,Electronic Components
1134,HBLPOWER.BO,HBL POWER SYSTEMS LTD.-$,Other Elect.Equip./ Prod.
1135,S&SPOWER.BO,S&S POWER SWITCHGEAR LTD.,Other Elect.Equip./ Prod.
1136,GUJARATPOLY.BO,Gujarat Poly Electronics Ltd,Other Elect.Equip./ Prod.
1137,GIPCL.BO,GUJARAT INDUSTRIES POWER CO.LTD.,Electric Utilities
1138,SAVINFOCO.BO,SAVANT INFOCOMM LTD.,Other Elect.Equip./ Prod.
1139,CMI.BO,CMI LTD.,Other Elect.Equip./ Prod.
1140,MOTHERSUMI.BO,MOTHERSON SUMI SYSTEMS LTD.,Auto Parts & Equipment
1141,MINDTECK.BO,MINDTECK (INDIA) LTD.,IT Software Products
1142,HAVELLS.BO,HAVELLS INDIA LTD.,Consumer Electronics
1143,ACIIN.BO,ACI INFOCOM LTD.,Storage Media & Peripherals
1144,SBECSYS.BO,SBEC SYSTEMS (INDIA) LTD.,Comm.Trading  & Distribution
1145,INCAP.BO,INCAP LTD.,Other Elect.Equip./ Prod.
1146,GUJINTRX.BO,GUJARAT INTRUX LTD.-$,Other Industrial Products
1147,IGARASHI.BO,IGARASHI MOTORS INDIA LTD.,Auto Parts & Equipment
1148,SYMPHONY.BO,Symphony Limited,Consumer Electronics
1149,PANELEC.BO,PAN ELECTRONICS INDIA LTD.,Electronic Components
1150,VXLINSTR.BO,VXL INSTRUMENTS LTD.,Consumer Electronics
1151,SHYAMTEL.BO,SHYAM TELECOM LTD.,Telecom Equipment
1152,LEENEE.BO,LEE & NEE SOFTWARES (EXPORTS) LTD.,BPO/KPO
1153,PATELSAI.BO,PATELS AIRTEMP (INDIA) LTD.,Industrial Machinery
1154,BUTTERFLY.BO,Butterfly Gandhimathi Appliances Ltd,Household Appliances
1155,ATHENAGLO.BO,Athena Global Technologies Ltd-$,IT Software Products
1156,NARMP.BO,NARMADA MACPLAST DRIP IRRIGATION SYSTEMS LTD.,Plastic Products
1157,DUTRON.BO,DUTRON POLYMERS LTD.-$,Plastic Products
1158,RSSOFTWARE.BO,R.S.SOFTWARE INDIA LTD.,IT Software Products
1159,MAGNAELQ.BO,MAGNA ELECTRO CASTINGS LTD.-$,Other Industrial Products
1160,LINAKS.BO,LINAKS MICROELECTRONICS LTD.,Electronic Components
1161,MARSONS.BO,MARSONS LIMITED,Other Elect.Equip./ Prod.
1162,ELNET.BO,ELNET TECHNOLOGIES LTD.-$,IT Software Products
1163,ACCEL.BO,Accel Ltd,Storage Media & Peripherals
1164,WEBELSOLAR.BO,WEBSOL ENERGY SYSTEM LTD.,Other Elect.Equip./ Prod.
1165,ROTO.BO,ROTO PUMPS LTD.,Industrial Machinery
1166,TTKPRESTIG.BO,TTK PRESTIGE LTD.,Houseware
1167,DHINDIA.BO,D&H India Ltd-$,Other Industrial Goods
1168,RAJGLOWIR.BO,RAJRATAN GLOBAL WIRE LTD.,Auto Parts & Equipment
1169,SURANAT&P.BO,Surana Telecom And Power Limited,Telecom Cables
1170,ONWARDTEC.BO,ONWARD TECHNOLOGIES LTD.,IT Consulting & Software
1171,CENTUM.BO,CENTUM ELECTRONICS LTD.,Diversified Commercial Services
1172,ALFATRAN.BO,ALFA TRANSFORMERS LTD.,Other Elect.Equip./ Prod.
1173,STARLITE.BO,STARLITE COMPONENTS LTD.,Comm.Trading  & Distribution
1174,NHCFOODS.BO,NHC FOODS LTD.,Other Food Products
1175,PVP.BO,PVP VENTURES LTD.,Realty
1176,TRIGYN.BO,TRIGYN TECHNOLOGIES LTD.,IT Consulting & Software
1177,KEI.BO,KEI INDUSTRIES LTD.,Other Elect.Equip./ Prod.
1178,INDLMETER.BO,IMP POWERS LTD.,Heavy Electrical Equipment
1179,KEERTHI.BO,KEERTHI INDUSTRIES LTD.,Cement & Cement Products
1180,GSCLCEMENT.BO,GUJARAT SIDHEE CEMENT LTD.,Cement & Cement Products
1181,SURAJ.BO,SURAJ PRODUCTS LTD.,Iron & Steel/Interm.Products
1182,APCL.BO,ANJANI PORTLAND CEMENT LTD.-$,Cement & Cement Products
1183,MODINATUR.BO,Modi Naturals Limited,Other Agricultural Products
1184,PRSNTIN.BO,PRASHANT INDIA LTD.,Textiles
1185,SHAHFOOD.BO,SHAH FOODS LTD.,Packaged Foods
1186,ZKHANDEN.BO,KHANDELWAL EXTRACTION LTD.,Other Agricultural Products
1187,TASTYBIT.BO,TASTY BITE EATABLES LTD.,Packaged Foods
1188,RITESHIN.BO,RITESH INTERNATIONAL LTD.,Commodity Chemicals
1189,AVTNPL.BO,AVT NATURAL PRODUCTS LTD.,Other Agricultural Products
1190,HNDFDS.BO,HINDUSTAN FOODS LTD.,Packaged Foods
1191,NAHARINDUS.BO,NAHAR INDUSTRIAL ENTERPRISES LTD.-$,Textiles
1192,VADILENT.BO,VADILAL ENTERPRISES LTD.,Comm.Trading  & Distribution
1193,VADILALIND.BO,VADILAL INDUSTRIES LTD.-$,Packaged Foods
1194,ASHAI.BO,ASHIANA AGRO INDUSTRIES LTD.,Edible Oils
1195,ADFFOODS.BO,ADF FOODS LTD.-$,Packaged Foods
1196,RGRL.BO,Retro Green Revolution Ltd,Tea & Coffee
1197,WILLIMFI.BO,WILLIAMSON FINANCIAL SERVICES LTD.,Finance (including NBFCs)
1198,AJANTSOY.BO,AJANTA SOYA LTD.,Edible Oils
1199,WILLAMAGOR.BO,WILLIAMSON MAGOR & COMPANY LTD.,Finance (including NBFCs)
1200,RICHIRICH.BO,Richirich Inventures Limited,Comm.Trading  & Distribution
1201,SIEL.BO,Superior Industrial Enterprises Limited,Edible Oils
1202,SPTRSHI.BO,SAPTARISHI AGRO INDUSTRIES LTD.,Other Agricultural Products
1203,SRDAPRT.BO,SARDA PROTEINS LTD.,Edible Oils
1204,SANWARIA.BO,Sanwaria Consumer Ltd-$,Packaged Foods
1205,PRIMAGR.BO,PRIMA AGRO LTD.,Other Agricultural Products
1206,MADHURIND.BO,MADHUR INDUSTRIES LTD.,Other Agricultural Products
